method,edge_mae,ler_mae,lwr_mae
Classical: Threshold + sub-pixel,1.3976972150848603,0.3205669394267622,0.36502444630813335
Classical: Threshold + sub-pixel,1.3452146188489282,0.32451544199579074,0.5127198307850751
Classical: Threshold + sub-pixel,1.358583192536173,0.33971476371178455,0.7538088085392354
Classical: Threshold + sub-pixel,1.355263887942421,0.29458066681396333,0.4513492471442053
Classical: Threshold + sub-pixel,1.3782312175970146,0.33242603711226737,0.3303967360542761
Classical: Threshold + sub-pixel,1.3633369372005115,0.35620857870863276,0.5331749840107682
Classical: Threshold + sub-pixel,1.3581269650278562,0.2772864833223918,0.11900633438898023
Classical: Threshold + sub-pixel,1.3530751505502532,0.33776637437189694,0.44634627971540586
Classical: Threshold + sub-pixel,1.361496543429372,0.25958333789269017,0.33720091181577083
Classical: Threshold + sub-pixel,1.3979261298816834,0.32848920703056816,0.49582915426102825
Classical: Threshold + sub-pixel,1.3955145781216145,0.3043163724432081,0.18816238946102604
Classical: Threshold + sub-pixel,1.359339133916604,0.3737839120108063,0.7423801093403861
Classical: Threshold + sub-pixel,1.3357241494511103,0.337234456268412,0.35416390122407404
Classical: Threshold + sub-pixel,1.3850123767530285,0.3431559297064365,0.5408467784386854
Classical: Threshold + sub-pixel,1.380623716141204,0.3169029282841641,0.3816164697280251
Classical: Threshold + sub-pixel,1.3942850763943175,0.3040494063609722,0.47267186028893504
Classical: Threshold + sub-pixel,1.3747405618458126,0.3069340089092131,0.5530573096673799
Classical: Threshold + sub-pixel,1.3674062149637063,0.31818240064030945,0.6621985899734866
Classical: Threshold + sub-pixel,1.3821581033457084,0.30429217078948945,0.3066132458025026
Classical: Threshold + sub-pixel,1.3490748817973248,0.299721543342385,0.2792951084588984
Classical: Threshold + sub-pixel,1.401958239058481,0.3620887003538448,0.7041251533503454
Classical: Threshold + sub-pixel,1.402523362676997,0.3101091415216751,0.5891400739471344
Classical: Threshold + sub-pixel,1.3981200891941303,0.2956449275361751,0.49079287159118223
Classical: Threshold + sub-pixel,1.371283585321871,0.2730035507377213,0.6095499254389691
Classical: Threshold + sub-pixel,1.3803450274081808,0.27226166408426566,0.4592870345567024
Classical: Threshold + sub-pixel,1.369627992502634,0.3164217286366876,0.46415499354122436
Classical: Threshold + sub-pixel,1.3446449453538145,0.25095246000755533,0.41080348926177845
Classical: Threshold + sub-pixel,1.3618070873654158,0.3054953182757324,0.31228223759982754
Classical: Threshold + sub-pixel,1.3662598281654588,0.31615547370137986,0.5536583015897762
Classical: Threshold + sub-pixel,1.3486995569853353,0.35052189933598965,0.48515298793065886
Classical: Threshold + sub-pixel,1.384454479412254,0.29583423686137156,0.3599212953556188
Classical: Threshold + sub-pixel,1.3734638084033985,0.3076859795838669,0.46816224932540274
Classical: Threshold + sub-pixel,1.3410478247227493,0.3147635482526834,0.22333755143113176
Classical: Threshold + sub-pixel,1.4209122270870846,0.2960469060339608,0.5582200087522802
Classical: Threshold + sub-pixel,1.4216452252135956,0.33614286758785816,0.5077181852056294
Classical: Threshold + sub-pixel,1.3670741004561187,0.29885270318875345,0.31569380268642844
Classical: Threshold + sub-pixel,1.353157406850568,0.26624822879925647,0.20527469746182136
Classical: Threshold + sub-pixel,1.329129709466824,0.2620399057443503,0.21393112498182143
Classical: Threshold + sub-pixel,1.3526389411457993,0.362163517211911,0.38229467041821197
Classical: Threshold + sub-pixel,1.37209696536329,0.25693239853253513,0.48539883015084007
Classical: Threshold + sub-pixel,1.3660719187118255,0.3425746389730965,0.5098680052023825
Classical: Threshold + sub-pixel,1.3520739221819889,0.2704351328370933,0.35790845253663073
Classical: Threshold + sub-pixel,1.3785596876024089,0.3004612181334162,0.482352523933709
Classical: Threshold + sub-pixel,1.3310487805717481,0.28885027850293166,0.46244829310160007
Classical: Threshold + sub-pixel,1.3579541643385953,0.3361722338508306,0.5764584490832805
Classical: Threshold + sub-pixel,1.367167218273358,0.33491625829241956,0.5016244853011163
Classical: Threshold + sub-pixel,1.316854483575565,0.31692782353871585,0.325778908701432
Classical: Threshold + sub-pixel,1.3576372493264004,0.2714350970316929,0.5517281093479647
Classical: Threshold + sub-pixel,1.4111252275052648,0.30864730829924003,0.4306179386506894
Classical: Threshold + sub-pixel,1.3289575511217953,0.3156844629117379,0.412183111620549
Classical: Threshold + sub-pixel,1.3818921033544826,0.30230613852800536,0.46925820693707054
Classical: Threshold + sub-pixel,1.347645442700967,0.2641672904539708,0.3249324691508291
Classical: Threshold + sub-pixel,1.383345227666764,0.27391015652774886,0.606336170944304
Classical: Threshold + sub-pixel,1.4121137505790429,0.29036809964526245,0.46791849902216387
Classical: Threshold + sub-pixel,1.3196197386336257,0.3426784430962577,0.5209166596322004
Classical: Threshold + sub-pixel,1.3601903243186912,0.3280904145407214,0.36068049952468995
Classical: Threshold + sub-pixel,1.3879881933060505,0.2645373777871227,0.2566721820574116
Classical: Threshold + sub-pixel,1.361519963811543,0.2859916191228995,0.3815930894190216
Classical: Threshold + sub-pixel,1.3583514159388237,0.2907458476898118,0.2413007737576942
Classical: Threshold + sub-pixel,1.368282598366822,0.3096614420562134,0.5539268793110106
Classical: Threshold + sub-pixel,1.3828539030141795,0.396143669597381,0.23296054960855384
Classical: Threshold + sub-pixel,1.4300260282886568,0.3407283860546625,0.10651973595072661
Classical: Threshold + sub-pixel,1.3861334796063025,0.3513913252626617,0.16505069376554315
Classical: Threshold + sub-pixel,1.3152346169099642,0.30879480165396256,0.07442888169216433
Classical: Threshold + sub-pixel,1.4127636242606614,0.30746138855002103,0.044138580425219454
Classical: Threshold + sub-pixel,1.3551375523984168,0.34309936516584505,0.16839492920602628
Classical: Threshold + sub-pixel,1.3840919123323074,0.24740019151703474,0.18447030477983017
Classical: Threshold + sub-pixel,1.3244107105420149,0.25095307118824295,0.30114123803738013
Classical: Threshold + sub-pixel,1.3753624797158608,0.3362784472911061,0.016354657482374968
Classical: Threshold + sub-pixel,1.369842357303762,0.34182157987068507,0.042535527498079206
Classical: Threshold + sub-pixel,1.4062467043620823,0.29217666272911624,0.06456999763000582
Classical: Threshold + sub-pixel,1.3812628586779163,0.2736680719590142,0.06154101924629107
Classical: Threshold + sub-pixel,1.3129399643285196,0.30323545870824054,0.14968237161449416
Classical: Threshold + sub-pixel,1.415279353056816,0.2966410878357867,0.011774851402899023
Classical: Threshold + sub-pixel,1.3721431762251433,0.24515943496735926,0.07336190040577995
Classical: Threshold + sub-pixel,1.4001003624771258,0.36367752306537815,0.026640025210131313
Classical: Threshold + sub-pixel,1.3596425139322914,0.31489051953590286,0.1483530303855487
Classical: Threshold + sub-pixel,1.4238200585395102,0.38064543641046067,0.02462698271375885
Classical: Threshold + sub-pixel,1.3978882237303911,0.3528297029847379,0.13365758996154486
Classical: Threshold + sub-pixel,1.4286150564637345,0.33624598543498685,0.14430942765686483
Classical: Threshold + sub-pixel,1.3683643051407148,0.31856834909567255,0.031790437342907873
Classical: Threshold + sub-pixel,1.33827745335588,0.2912710733710827,0.0732711521533096
Classical: Threshold + sub-pixel,1.331247777239444,0.31734899350884216,0.008877497711437643
Classical: Threshold + sub-pixel,1.3747667966452748,0.31485320063000666,0.24557475887589586
Classical: Threshold + sub-pixel,1.385667548012003,0.3032656002440993,0.07444724962743199
Classical: Threshold + sub-pixel,1.3539501185525196,0.3281338549071111,0.12832157348872975
Classical: Threshold + sub-pixel,1.349320339880442,0.36610813067983294,0.08071147714996951
Classical: Threshold + sub-pixel,1.4161494759226203,0.31529382205626455,0.22423411725066522
Classical: Threshold + sub-pixel,1.3476216563551602,0.31039227560401284,0.20453986725590845
Classical: Threshold + sub-pixel,1.3607289769989732,0.27801607131794615,0.09812766668913486
Classical: Threshold + sub-pixel,1.2963880218217199,0.2648140746496257,0.07581723450533451
Classical: Threshold + sub-pixel,1.4269866009634429,0.39042206528478085,0.07375247808241436
Classical: Threshold + sub-pixel,1.3401769176965588,0.2722807025678836,0.03324762452296581
Classical: Threshold + sub-pixel,1.3674575840032317,0.3148667047530743,0.053979387289554204
Classical: Threshold + sub-pixel,1.3358654270813788,0.2702632661110751,0.10976796837245084
Classical: Threshold + sub-pixel,1.3356229001941788,0.34554743190728254,0.0618210964509045
Classical: Threshold + sub-pixel,1.3476400253376775,0.29445543255684004,0.24751233366881786
Classical: Threshold + sub-pixel,1.337006305572732,0.32129855615854286,0.11451175163565219
Classical: Threshold + sub-pixel,1.363981020472774,0.31787323102640797,0.09513087934242281
Classical: Threshold + sub-pixel,1.3594855091374325,0.2611103438637935,0.045629685194179315
Classical: Threshold + sub-pixel,1.3992164297202232,0.3799272962626675,0.0341345255504113
Classical: Threshold + sub-pixel,1.4367061035331703,0.41534665156089956,0.006877212028726376
Classical: Threshold + sub-pixel,1.2991431004526621,0.30791617545535266,0.23555270866682299
Classical: Threshold + sub-pixel,1.3222926124775694,0.2588699530918659,0.21334226623868102
Classical: Threshold + sub-pixel,1.3180882960457048,0.2928210086429821,0.23089970830040563
Classical: Threshold + sub-pixel,1.3452995173899727,0.2372341224537502,0.1376230787598729
Classical: Threshold + sub-pixel,1.418547298043081,0.36566197049259985,0.14475040307352582
Classical: Threshold + sub-pixel,1.409909004900896,0.3030487685466019,0.13632675489785484
Classical: Threshold + sub-pixel,1.3856631991795965,0.31362654541845225,0.07613327179228313
Classical: Threshold + sub-pixel,1.360287582114731,0.31407649072619614,0.04095176902688413
Classical: Threshold + sub-pixel,1.347159244362277,0.36754981366626127,0.08077737783065686
Classical: Threshold + sub-pixel,1.3821745269920225,0.3031359637087492,0.012718638346731037
Classical: Threshold + sub-pixel,1.387380321086611,0.26079384204267375,0.0172280830234135
Classical: Threshold + sub-pixel,1.3197077060367337,0.2100122495396174,0.03898355607425952
Classical: Threshold + sub-pixel,1.3678700861764912,0.36772431090236246,0.08398640151901948
Classical: Threshold + sub-pixel,1.3542749886058176,0.27979260805672423,0.1719801587985712
Classical: Threshold + sub-pixel,1.348356751386321,0.2885275001077424,0.05829513817316423
Classical: Threshold + sub-pixel,1.3641574739424245,0.3029296145820377,0.12228066691556139
Classical: Threshold + sub-pixel,1.3477991022814781,0.22181192980669395,0.08826826819210898
Classical: Threshold + sub-pixel,1.3926264334545149,0.31754170742357934,0.11286950629277603
Classical: Threshold + sub-pixel,1.3619324815728269,0.4254937508717471,0.26612012419565323
Classical: Threshold + sub-pixel,1.3897440145134088,0.3555600620224897,0.19172663755291408
Classical: Threshold + sub-pixel,1.4877738157241682,0.38402146265998016,0.4225182419119964
Classical: Threshold + sub-pixel,1.3285557401463668,0.30989660001363495,0.261327581600153
Classical: Threshold + sub-pixel,1.3204964613739731,0.22268341844495432,0.23230965858751684
Classical: Threshold + sub-pixel,1.3430433258488592,0.3523876495829227,0.24519374122763837
Classical: Threshold + sub-pixel,1.3646753349616108,0.2972994978227428,0.3841152186768848
Classical: Threshold + sub-pixel,1.3341863857123006,0.22029000470854876,0.32530299644068905
Classical: Threshold + sub-pixel,1.3830234766823795,0.30715839111655496,0.35028344806019107
Classical: Threshold + sub-pixel,1.3651396771560158,0.2797623598156518,0.18928091744216768
Classical: Threshold + sub-pixel,1.3590615494489866,0.31174289966584456,0.2958184538481359
Classical: Threshold + sub-pixel,1.3802717906773285,0.2931827488513601,0.2780504007902316
Classical: Threshold + sub-pixel,1.3247529110074008,0.22385197954664915,0.36887817850765914
Classical: Threshold + sub-pixel,1.3760567491807822,0.3319175528363687,0.22487306755086234
Classical: Threshold + sub-pixel,1.3376912958219809,0.24950062141894336,0.21426617640258794
Classical: Threshold + sub-pixel,1.3663705627886,0.3309117491632264,0.2625156317030448
Classical: Threshold + sub-pixel,1.3757861858317972,0.38841770576127777,0.2955096512776487
Classical: Threshold + sub-pixel,1.3799120600871282,0.33992012569057983,0.3215718398828322
Classical: Threshold + sub-pixel,1.3406049460647287,0.36746917632040765,0.37449795392961693
Classical: Threshold + sub-pixel,1.4270440178143213,0.322119343359482,0.43741955411169897
Classical: Threshold + sub-pixel,1.3321804323824216,0.2715019849493463,0.2463941563457186
Classical: Threshold + sub-pixel,1.3712528964352586,0.3223070921937504,0.28572600426795725
Classical: Threshold + sub-pixel,1.4056485620572385,0.3926391861746984,0.3223149886218848
Classical: Threshold + sub-pixel,1.3588465536342988,0.20928923472339755,0.4212232690485871
Classical: Threshold + sub-pixel,1.3822429906627285,0.3700465877084479,0.2087169428107718
Classical: Threshold + sub-pixel,1.394247857273677,0.36274824963090024,0.3711217042195887
Classical: Threshold + sub-pixel,1.3524545505333898,0.3030036838869159,0.40258800538879336
Classical: Threshold + sub-pixel,1.4555937377196648,0.32486378744409505,0.4777132217942084
Classical: Threshold + sub-pixel,1.3665675402750317,0.3372552933613254,0.2124378552691646
Classical: Threshold + sub-pixel,1.362834386814434,0.32953769080050066,0.3025473774977756
Classical: Threshold + sub-pixel,1.4168498764698634,0.3652645254923058,0.2839863817114445
Classical: Threshold + sub-pixel,1.3604377412678494,0.2952872509983453,0.5558717031601714
Classical: Threshold + sub-pixel,1.359397856392834,0.2684925422094162,0.309386250600886
Classical: Threshold + sub-pixel,1.3126012196216565,0.3060463509753677,0.2733324245306006
Classical: Threshold + sub-pixel,1.329939101931452,0.25645883852201445,0.3669403765823418
Classical: Threshold + sub-pixel,1.4217206962190327,0.3825619503857409,0.3520440278145598
Classical: Threshold + sub-pixel,1.3361168130570376,0.2738571726215885,0.1588299729760967
Classical: Threshold + sub-pixel,1.3042211857725592,0.27203865985365827,0.20203455882718613
Classical: Threshold + sub-pixel,1.3895350222863496,0.26295650335217235,0.2846477487361665
Classical: Threshold + sub-pixel,1.3697270139854703,0.3313157576127621,0.19761361449792236
Classical: Threshold + sub-pixel,1.370081650566008,0.32765094505519254,0.28104310045720204
Classical: Threshold + sub-pixel,1.3782897031998222,0.2932558980127745,0.4430826194756703
Classical: Threshold + sub-pixel,1.3846593424455602,0.2746622030445589,0.3389271113167345
Classical: Threshold + sub-pixel,1.3725046024622407,0.24098652058014902,0.34689793653684364
Classical: Threshold + sub-pixel,1.3202891470821259,0.25928248436400847,0.2570918247093632
Classical: Threshold + sub-pixel,1.3040787235753628,0.2088364877704718,0.4199878522559668
Classical: Threshold + sub-pixel,1.306969107466489,0.21434985430448183,0.37765170709834406
Classical: Threshold + sub-pixel,1.37586694860814,0.3106687853031831,0.17136815280722106
Classical: Threshold + sub-pixel,1.3469544178072124,0.25287230273141614,0.2679549975874127
Classical: Threshold + sub-pixel,1.391606190017729,0.32693610871897083,0.42179349167105795
Classical: Threshold + sub-pixel,1.420463825110689,0.3166565436074371,0.2709019130109216
Classical: Threshold + sub-pixel,1.3939756798888425,0.3479671265246731,0.28736393547379935
Classical: Threshold + sub-pixel,1.3393054208627377,0.2996116317661627,0.3347377865975987
Classical: Threshold + sub-pixel,1.3633850748266316,0.31980665639371353,0.12806343443167156
Classical: Threshold + sub-pixel,1.4070059837068776,0.40962255418731763,0.21598366930869384
Classical: Threshold + sub-pixel,1.336477511201712,0.3333038210022664,0.20828459428292412
Classical: Threshold + sub-pixel,1.412758620421756,0.24008397879509857,0.4175135039539464
Classical: Threshold + sub-pixel,1.363257759901538,0.3156077821918357,0.3061468107975731
Classical: Threshold + sub-pixel,1.334826301810697,0.2910067568798047,0.36308046628332913
Classical: Threshold + sub-pixel,1.3245455179505738,0.3439457350435423,0.38530043214850207
Classical: Threshold + sub-pixel,1.3803822905568013,0.32098435033472705,0.6642123360983976
Classical: Threshold + sub-pixel,1.3334189607639149,0.35242760993984157,0.8346238500332719
Classical: Threshold + sub-pixel,1.3741335894605882,0.31767100195621023,0.8556153673340594
Classical: Threshold + sub-pixel,1.3441479538553271,0.3225299155401785,0.6624145602701108
Classical: Threshold + sub-pixel,1.3983461541672202,0.28170386557207816,0.5366398294516255
Classical: Threshold + sub-pixel,1.385476433640513,0.3490129921619719,0.847594243195565
Classical: Threshold + sub-pixel,1.3894106940061537,0.3081234402633902,0.6784812706524135
Classical: Threshold + sub-pixel,1.3301280739204042,0.3634645716507027,0.8765455267357534
Classical: Threshold + sub-pixel,1.373682982297043,0.37599749596249854,0.867476728631202
Classical: Threshold + sub-pixel,1.3829314436332245,0.2836521502233994,0.6165242063133636
Classical: Threshold + sub-pixel,1.3934972290081462,0.22947053088785052,0.613921521737556
Classical: Threshold + sub-pixel,1.373410773763649,0.28563357737689266,0.5772131560825984
Classical: Threshold + sub-pixel,1.316966546754169,0.3409927356293285,0.7678429787411274
Classical: Threshold + sub-pixel,1.3648409355599063,0.32540718889755593,0.8005063196030804
Classical: Threshold + sub-pixel,1.3923383821240782,0.3908670521858719,0.9068591740704064
Classical: Threshold + sub-pixel,1.3936128039831477,0.2945813865140502,0.712782101407951
Classical: Threshold + sub-pixel,1.4021289582688254,0.3219316348066552,0.8570280604424199
Classical: Threshold + sub-pixel,1.4074963165438237,0.23519240206711867,0.5358594344468814
Classical: Threshold + sub-pixel,1.3772943338231889,0.29411376534506606,0.6910553264711536
Classical: Threshold + sub-pixel,1.3408659778516288,0.29121194420643304,0.5635932709568883
Classical: Threshold + sub-pixel,1.3574211772076952,0.28258616024015293,0.5601015725466827
Classical: Threshold + sub-pixel,1.4058029131737197,0.3089996802054015,0.6491914444106974
Classical: Threshold + sub-pixel,1.33696876372975,0.2794058215949431,0.5786718694427635
Classical: Threshold + sub-pixel,1.3713521306349912,0.24733308739058235,0.588367944493505
Classical: Threshold + sub-pixel,1.3931333458513868,0.3397761827482989,0.7522820494627886
Classical: Threshold + sub-pixel,1.3966333072696502,0.36070327290601933,0.7983108167244577
Classical: Threshold + sub-pixel,1.324949322646975,0.27003135076104845,0.652103664407609
Classical: Threshold + sub-pixel,1.3815719544226035,0.26340989671224657,0.5667364146869456
Classical: Threshold + sub-pixel,1.3762713926790313,0.280190879426386,0.6828307142179968
Classical: Threshold + sub-pixel,1.3214824346168215,0.2598754579696927,0.6118749336772047
Classical: Threshold + sub-pixel,1.3992811639676441,0.3328975362529144,0.6675054784177279
Classical: Threshold + sub-pixel,1.38940982005609,0.29420518839078336,0.6377632504573882
Classical: Threshold + sub-pixel,1.3320475579440012,0.28815632274333136,0.6862690003447696
Classical: Threshold + sub-pixel,1.3704750394613292,0.2749230481464524,0.787415678189429
Classical: Threshold + sub-pixel,1.3412870032226372,0.31515895897112,0.7561491923323866
Classical: Threshold + sub-pixel,1.3720320213487298,0.23201272704129894,0.4561878984643055
Classical: Threshold + sub-pixel,1.30152438742174,0.2612045909124303,0.5388428395198055
Classical: Threshold + sub-pixel,1.3470332511298029,0.23628408431559034,0.6302732785906529
Classical: Threshold + sub-pixel,1.3507488435550212,0.3117012217249734,0.7910349997780279
Classical: Threshold + sub-pixel,1.3379881026467035,0.2844648126483983,0.6940731393615858
Classical: Threshold + sub-pixel,1.3460638127263969,0.321679828885277,0.7702499991842657
Classical: Threshold + sub-pixel,1.3600019788678748,0.3337053912906982,0.7873071643259222
Classical: Threshold + sub-pixel,1.3226086846511147,0.2673863517975059,0.6428062890353814
Classical: Threshold + sub-pixel,1.3159817501837354,0.285324748305116,0.6102541288144108
Classical: Threshold + sub-pixel,1.3578068953441538,0.24067394705305956,0.5819432632278057
Classical: Threshold + sub-pixel,1.3361744577291952,0.34751848642501826,0.6231339006881882
Classical: Threshold + sub-pixel,1.4073762151842786,0.3595989277198861,0.9360346308287646
Classical: Threshold + sub-pixel,1.3788316650372017,0.21199807121759218,0.4720395034943252
Classical: Threshold + sub-pixel,1.3885390661494286,0.3272094014763277,0.7437012914186112
Classical: Threshold + sub-pixel,1.3277413721508875,0.30106564811140535,0.6860397987936782
Classical: Threshold + sub-pixel,1.3406727632117068,0.2162486926211512,0.6517210446193111
Classical: Threshold + sub-pixel,1.3237937117212921,0.3087888944939986,0.5189687109196408
Classical: Threshold + sub-pixel,1.3719998789259464,0.33856040580409097,0.7221818709519048
Classical: Threshold + sub-pixel,1.333171644471678,0.22241338438698866,0.5645076788419854
